%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82969.180,299.361,0.966,15.040,109.204,0.018,108.371,110.994,112.939,113.334,113.767,110.951,109.750,111.220,112.070,113.075,115.801,109.919,116.648,113.873,112.774,111.687,-11.000,-0.783,-0.437,-0.053,-90.196,215.549
82965.148,299.364,0.965,15.041,109.204,0.178,108.046,111.329,114.010,114.066,114.308,110.639,110.819,110.898,112.517,113.388,115.273,110.026,116.125,114.815,113.085,111.687,-11.000,-0.763,-0.457,-0.052,-90.212,215.549
82965.148,299.361,0.965,15.046,109.283,0.338,109.453,110.435,113.260,114.588,113.767,111.263,110.498,111.541,112.741,113.388,116.012,110.132,116.543,114.606,112.878,112.026,-11.000,-0.744,-0.437,-0.052,-90.228,215.539
82965.148,299.363,0.965,15.035,109.125,0.178,109.020,111.552,113.367,113.961,114.308,110.639,110.819,110.898,112.741,113.179,116.223,109.919,116.334,113.769,113.397,111.349,-11.000,-0.783,-0.427,-0.052,-90.196,215.549
82953.054,299.361,0.965,15.036,109.125,0.178,108.696,110.770,113.474,113.961,113.983,110.535,109.964,110.898,112.517,112.657,115.906,109.281,116.229,113.873,113.085,111.687,-11.000,-0.763,-0.457,-0.053,-90.196,215.570
82969.180,299.363,0.966,15.040,109.204,0.338,108.587,110.324,113.474,112.916,113.983,110.535,110.391,110.254,111.734,113.388,115.378,109.706,116.334,113.350,112.982,111.687,-11.000,-0.783,-0.447,-0.052,-90.228,215.560
82961.117,299.363,0.965,15.046,109.283,0.178,109.020,110.324,113.153,113.334,113.551,110.223,109.964,110.576,112.070,112.866,116.223,109.068,115.392,114.501,112.151,111.687,-11.000,-0.763,-0.417,-0.052,-90.212,215.539
82957.086,299.361,0.965,15.036,109.125,0.178,108.912,110.547,113.046,113.647,114.200,109.911,110.285,110.469,111.958,113.179,115.906,109.706,116.125,114.083,113.085,111.011,-11.000,-0.783,-0.457,-0.052,-90.212,215.539
82965.148,299.361,0.965,15.046,109.283,0.338,109.129,111.664,112.939,113.752,113.875,111.263,110.391,110.683,112.964,112.536,115.484,110.132,116.125,114.397,112.982,111.913,-11.000,-0.783,-0.427,-0.053,-90.212,215.570
82965.148,299.363,0.965,15.041,109.204,-0.142,108.587,111.105,113.688,113.543,114.416,111.159,110.605,111.541,112.405,113.789,115.167,109.600,116.439,113.664,113.189,112.252,-11.000,-0.783,-0.467,-0.052,-90.228,215.539
